|--------|---------|--------------|--------------|----------|----|-----|--------|---------------------------|-----------------|----------------------------------------------------------------------|---------------------|--------------------------------|------------------------|-------------|-------------|------------------------|------------|----------------------------------------------------|----------|------------|-----------------|-----------------------------|------------------------|----------------|---------------|-------|---------------|--------|---------------|----------------|--------|--------------|--------------|----------|-----------|----------------|
| 652469 | 1467628 |   2025-01-01 | quarta-feira | 00:50:00 | SC | 101 |    120 | ITAJAI                    | Sim             | Aus�ncia de rea��o do condutor                                       |                   1 | Tombamento                     | Com V�timas Feridas    | Plena Noite | Decrescente | Nublado                | Dupla      | Reta                                               | N�o      |    1172934 | Motocicleta     | HONDA/CG 160 TITAN EX       |                   2016 | Passageiro     | Les�es Leves  |    24 | Feminino      |      0 |             1 |              0 |      0 |   -26,912758 |   -48,711998 | SPRF-SC  | DEL04-SC  | UOP04-DEL04-SC |
|--------|---------|--------------|--------------|----------|----|-----|--------|---------------------------|-----------------|----------------------------------------------------------------------|---------------------|--------------------------------|------------------------|-------------|-------------|------------------------|------------|----------------------------------------------------|----------|------------|-----------------|-----------------------------|------------------------|----------------|---------------|-------|---------------|--------|---------------|----------------|--------|--------------|--------------|----------|-----------|----------------|
| 652469 | 1467627 |   2025-01-01 | quarta-feira | 00:50:00 | SC | 101 |    120 | ITAJAI                    | Sim             | Aus�ncia de rea��o do condutor                                       |                   1 | Tombamento                     | Com V�timas Feridas    | Plena Noite | Decrescente | Nublado                | Dupla      | Reta                                               | N�o      |    1172934 | Motocicleta     | HONDA/CG 160 TITAN EX       |                   2016 | Condutor       | Ileso         |    26 | Masculino     |      1 |             0 |              0 |      0 |   -26,912758 |   -48,711998 | SPRF-SC  | DEL04-SC  | UOP04-DEL04-SC |
|--------|---------|--------------|--------------|----------|----|-----|--------|---------------------------|-----------------|----------------------------------------------------------------------|---------------------|--------------------------------|------------------------|-------------|-------------|------------------------|------------|----------------------------------------------------|----------|------------|-----------------|-----------------------------|------------------------|----------------|---------------|-------|---------------|--------|---------------|----------------|--------|--------------|--------------|----------|-----------|----------------|
| 652470 | 1467671 |   2025-01-01 | quarta-feira | 01:15:00 | GO | 153 |    414 | ANAPOLIS                  | Sim             | Transitar na contram�o                                               |                   1 | Colis�o lateral sentido oposto | Com V�timas Feridas    | Plena Noite | Decrescente | Garoa/Chuvisco         | Simples    | Reta                                               | N�o      |    1172956 | Autom�vel       | VW/GOL 1.0 GIV              |                   2012 | Passageiro     | Les�es Graves |    57 | Feminino      |      0 |             0 |              1 |      0 |   -16,133518 |   -49,047565 | SPRF-GO  | DEL02-GO  | UOP02-DEL02-GO |
|--------|---------|--------------|--------------|----------|----|-----|--------|---------------------------|-----------------|----------------------------------------------------------------------|---------------------|--------------------------------|------------------------|-------------|-------------|------------------------|------------|----------------------------------------------------|----------|------------|-----------------|-----------------------------|------------------------|----------------|---------------|-------|---------------|--------|---------------|----------------|--------|--------------|--------------|----------|-----------|----------------|
| 652470 | 1467672 |   2025-01-01 | quarta-feira | 01:15:00 | GO | 153 |    414 | ANAPOLIS                  | Sim             | Transitar na contram�o                                               |                   1 | Colis�o lateral sentido oposto | Com V�timas Feridas    | Plena Noite | Decrescente | Garoa/Chuvisco         | Simples    | Reta                                               | N�o      |    1172956 | Autom�vel       | VW/GOL 1.0 GIV              |                   2012 | Passageiro     | Ileso         |     8 | Feminino      |      1 |             0 |              0 |      0 |   -16,133518 |   -49,047565 | SPRF-GO  | DEL02-GO  | UOP02-DEL02-GO |
|--------|---------|--------------|--------------|----------|----|-----|--------|---------------------------|-----------------|----------------------------------------------------------------------|---------------------|--------------------------------|------------------------|-------------|-------------|------------------------|------------|----------------------------------------------------|----------|------------|-----------------|-----------------------------|------------------------|----------------|---------------|-------|---------------|--------|---------------|----------------|--------|--------------|--------------|----------|-----------|----------------|
| 652470 | 1467670 |   2025-01-01 | quarta-feira | 01:15:00 | GO | 153 |    414 | ANAPOLIS                  | Sim             | Transitar na contram�o                                               |                   1 | Colis�o lateral sentido oposto | Com V�timas Feridas    | Plena Noite | Decrescente | Garoa/Chuvisco         | Simples    | Reta                                               | N�o      |    1172956 | Autom�vel       | VW/GOL 1.0 GIV              |                   2012 | Condutor       | Ileso         |    60 | Masculino     |      1 |             0 |              0 |      0 |   -16,133518 |   -49,047565 | SPRF-GO  | DEL02-GO  | UOP02-DEL02-GO |
|--------|---------|--------------|--------------|----------|----|-----|--------|---------------------------|-----------------|----------------------------------------------------------------------|---------------------|--------------------------------|------------------------|-------------|-------------|------------------------|------------|----------------------------------------------------|----------|------------|-----------------|-----------------------------|------------------------|----------------|---------------|-------|---------------|--------|---------------|----------------|--------|--------------|--------------|----------|-----------|----------------|
| 652470 | 1467669 |   2025-01-01 | quarta-feira | 01:15:00 | GO | 153 |    414 | ANAPOLIS                  | Sim             | Transitar na contram�o                                               |                   1 | Colis�o lateral sentido oposto | Com V�timas Feridas    | Plena Noite | Decrescente | Garoa/Chuvisco         | Simples    | Reta                                               | N�o      |    1172954 | Autom�vel       | I/VW GOLF HIGHLINE AC       |                   2015 | Passageiro     | Ileso         |    20 | Feminino      |      1 |             0 |              0 |      0 |   -16,133518 |   -49,047565 | SPRF-GO  | DEL02-GO  | UOP02-DEL02-GO |
|--------|---------|--------------|--------------|----------|----|-----|--------|---------------------------|-----------------|----------------------------------------------------------------------|---------------------|--------------------------------|------------------------|-------------|-------------|------------------------|------------|----------------------------------------------------|----------|------------|-----------------|-----------------------------|------------------------|----------------|---------------|-------|---------------|--------|---------------|----------------|--------|--------------|--------------|----------|-----------|----------------|
| 652470 | 1467668 |   2025-01-01 | quarta-feira | 01:15:00 | GO | 153 |    414 | ANAPOLIS                  | Sim             | Transitar na contram�o                                               |                   1 | Colis�o lateral sentido oposto | Com V�timas Feridas    | Plena Noite | Decrescente | Garoa/Chuvisco         | Simples    | Reta                                               | N�o      |    1172954 | Autom�vel       | I/VW GOLF HIGHLINE AC       |                   2015 | Condutor       | Ileso         |    23 | Masculino     |      1 |             0 |              0 |      0 |   -16,133518 |   -49,047565 | SPRF-GO  | DEL02-GO  | UOP02-DEL02-GO |
|--------|---------|--------------|--------------|----------|----|-----|--------|---------------------------|-----------------|----------------------------------------------------------------------|---------------------|--------------------------------|------------------------|-------------|-------------|------------------------|------------|----------------------------------------------------|----------|------------|-----------------|-----------------------------|------------------------|----------------|---------------|-------|---------------|--------|---------------|----------------|--------|--------------|--------------|----------|-----------|----------------|
| 652471 | 1467729 |   2025-01-01 | quarta-feira | 02:00:00 | PR | 116 |   11,3 | COLOMBO                   | Sim             | Ingest�o de �lcool pelo condutor                                     |                   1 | Sa�da de leito carro��vel      | Sem V�timas            | Plena Noite | Crescente   | C�u Claro              | Dupla      | Reta                                               | N�o      |    1173002 | Autom�vel       | FIAT/PALIO ELX FLEX         |                   2007 | Condutor       | Ileso         |    54 | Masculino     |      1 |             0 |              0 |      0 | -25,37228723 | -49,13813353 | SPRF-PR  | DEL01-PR  | UOP02-DEL01-PR |
|--------|---------|--------------|--------------|----------|----|-----|--------|---------------------------|-----------------|----------------------------------------------------------------------|---------------------|--------------------------------|------------------------|-------------|-------------|------------------------|------------|----------------------------------------------------|----------|------------|-----------------|-----------------------------|------------------------|----------------|---------------|-------|---------------|--------|---------------|----------------|--------|--------------|--------------|----------|-----------|----------------|
| 652473 | 1467644 |   2025-01-01 | quarta-feira | 01:40:00 | DF |  20 |    8,8 | BRASILIA                  | Sim             | Rea��o tardia ou ineficiente do condutor                             |                   1 | Colis�o transversal            | Sem V�timas            | Plena Noite | Crescente   | C�u Claro              | Dupla      | Reta                                               | Sim      |    1172941 | Autom�vel       | HYUNDAI/HB20S10TA FE.DIA    |                   2020 | Passageiro     | Ileso         |    60 | Masculino     |      1 |             0 |              0 |      0 |   -15,658386 |   -47,791534 | SPRF-DF  | DEL02-DF  | UOP01-DEL02-DF |
|--------|---------|--------------|--------------|----------|----|-----|--------|---------------------------|-----------------|----------------------------------------------------------------------|---------------------|--------------------------------|------------------------|-------------|-------------|------------------------|------------|----------------------------------------------------|----------|------------|-----------------|-----------------------------|------------------------|----------------|---------------|-------|---------------|--------|---------------|----------------|--------|--------------|--------------|----------|-----------|----------------|
| 652473 | 1467643 |   2025-01-01 | quarta-feira | 01:40:00 | DF |  20 |    8,8 | BRASILIA                  | Sim             | Rea��o tardia ou ineficiente do condutor                             |                   1 | Colis�o transversal            | Sem V�timas            | Plena Noite | Crescente   | C�u Claro              | Dupla      | Reta                                               | Sim      |    1172941 | Autom�vel       | HYUNDAI/HB20S10TA FE.DIA    |                   2020 | Condutor       | Ileso         |    52 | Feminino      |      1 |             0 |              0 |      0 |   -15,658386 |   -47,791534 | SPRF-DF  | DEL02-DF  | UOP01-DEL02-DF |
|--------|---------|--------------|--------------|----------|----|-----|--------|---------------------------|-----------------|----------------------------------------------------------------------|---------------------|--------------------------------|------------------------|-------------|-------------|------------------------|------------|----------------------------------------------------|----------|------------|-----------------|-----------------------------|------------------------|----------------|---------------|-------|---------------|--------|---------------|----------------|--------|--------------|--------------|----------|-----------|----------------|
| 652473 | 1467641 |   2025-01-01 | quarta-feira | 01:40:00 | DF |  20 |    8,8 | BRASILIA                  | Sim             | Rea��o tardia ou ineficiente do condutor                             |                   1 | Colis�o transversal            | Sem V�timas            | Plena Noite | Crescente   | C�u Claro              | Dupla      | Reta                                               | Sim      |    1172940 | Autom�vel       | VW/GOL 1.0L MC5             |                   2019 | Condutor       | Ileso         |    26 | Masculino     |      1 |             0 |              0 |      0 |   -15,658386 |   -47,791534 | SPRF-DF  | DEL02-DF  | UOP01-DEL02-DF |
|--------|---------|--------------|--------------|----------|----|-----|--------|---------------------------|-----------------|----------------------------------------------------------------------|---------------------|--------------------------------|------------------------|-------------|-------------|------------------------|------------|----------------------------------------------------|----------|------------|-----------------|-----------------------------|------------------------|----------------|---------------|-------|---------------|--------|---------------|----------------|--------|--------------|--------------|----------|-----------|----------------|
| 652474 | 1469333 |   2025-01-01 | quarta-feira | 02:30:00 | PR | 163 |  219,7 | CASCAVEL                  | N�o             | Rea��o tardia ou ineficiente do condutor                             |                   2 | Sa�da de leito carro��vel      | Com V�timas Feridas    | Plena Noite | Decrescente | C�u Claro              | Dupla      | Reta                                               | N�o      |    1172935 | Autom�vel       | I/PEUGEOT 206 SOLEIL        |                   2001 | Passageiro     | Les�es Leves  |    20 | Feminino      |      0 |             1 |              0 |      0 |   -24,897235 |   -53,533793 | SPRF-PR  | DEL04-PR  | UOP01-DEL04-PR |
|--------|---------|--------------|--------------|----------|----|-----|--------|---------------------------|-----------------|----------------------------------------------------------------------|---------------------|--------------------------------|------------------------|-------------|-------------|------------------------|------------|----------------------------------------------------|----------|------------|-----------------|-----------------------------|------------------------|----------------|---------------|-------|---------------|--------|---------------|----------------|--------|--------------|--------------|----------|-----------|----------------|
| 652474 | 1467631 |   2025-01-01 | quarta-feira | 02:30:00 | PR | 163 |  219,7 | CASCAVEL                  | N�o             | Rea��o tardia ou ineficiente do condutor                             |                   2 | Sa�da de leito carro��vel      | Com V�timas Feridas    | Plena Noite | Decrescente | C�u Claro              | Dupla      | Reta                                               | N�o      |    1172935 | Autom�vel       | I/PEUGEOT 206 SOLEIL        |                   2001 | Passageiro     | Les�es Leves  |    18 | Feminino      |      0 |             1 |              0 |      0 |   -24,897235 |   -53,533793 | SPRF-PR  | DEL04-PR  | UOP01-DEL04-PR |
|--------|---------|--------------|--------------|----------|----|-----|--------|---------------------------|-----------------|----------------------------------------------------------------------|---------------------|--------------------------------|------------------------|-------------|-------------|------------------------|------------|----------------------------------------------------|----------|------------|-----------------|-----------------------------|------------------------|----------------|---------------|-------|---------------|--------|---------------|----------------|--------|--------------|--------------|----------|-----------|----------------|
| 652474 | 1467630 |   2025-01-01 | quarta-feira | 02:30:00 | PR | 163 |  219,7 | CASCAVEL                  | N�o             | Rea��o tardia ou ineficiente do condutor                             |                   2 | Sa�da de leito carro��vel      | Com V�timas Feridas    | Plena Noite | Decrescente | C�u Claro              | Dupla      | Reta                                               | N�o      |    1172935 | Autom�vel       | I/PEUGEOT 206 SOLEIL        |                   2001 | Condutor       | Ileso         |    25 | Masculino     |      1 |             0 |              0 |      0 |   -24,897235 |   -53,533793 | SPRF-PR  | DEL04-PR  | UOP01-DEL04-PR |
|--------|---------|--------------|--------------|----------|----|-----|--------|---------------------------|-----------------|----------------------------------------------------------------------|---------------------|--------------------------------|------------------------|-------------|-------------|------------------------|------------|----------------------------------------------------|----------|------------|-----------------|-----------------------------|------------------------|----------------|---------------|-------|---------------|--------|---------------|----------------|--------|--------------|--------------|----------|-----------|----------------|
| 652474 | 1469333 |   2025-01-01 | quarta-feira | 02:30:00 | PR | 163 |  219,7 | CASCAVEL                  | N�o             | Rea��o tardia ou ineficiente do condutor                             |                   1 | Capotamento                    | Com V�timas Feridas    | Plena Noite | Decrescente | C�u Claro              | Dupla      | Reta                                               | N�o      |    1172935 | Autom�vel       | I/PEUGEOT 206 SOLEIL        |                   2001 | Passageiro     | Les�es Leves  |    20 | Feminino      |      0 |             1 |              0 |      0 |   -24,897235 |   -53,533793 | SPRF-PR  | DEL04-PR  | UOP01-DEL04-PR |
|--------|---------|--------------|--------------|----------|----|-----|--------|---------------------------|-----------------|----------------------------------------------------------------------|---------------------|--------------------------------|------------------------|-------------|-------------|------------------------|------------|----------------------------------------------------|----------|------------|-----------------|-----------------------------|------------------------|----------------|---------------|-------|---------------|--------|---------------|----------------|--------|--------------|--------------|----------|-----------|----------------|
| 652474 | 1467631 |   2025-01-01 | quarta-feira | 02:30:00 | PR | 163 |  219,7 | CASCAVEL                  | N�o             | Rea��o tardia ou ineficiente do condutor                             |                   1 | Capotamento                    | Com V�timas Feridas    | Plena Noite | Decrescente | C�u Claro              | Dupla      | Reta                                               | N�o      |    1172935 | Autom�vel       | I/PEUGEOT 206 SOLEIL        |                   2001 | Passageiro     | Les�es Leves  |    18 | Feminino      |      0 |             1 |              0 |      0 |   -24,897235 |   -53,533793 | SPRF-PR  | DEL04-PR  | UOP01-DEL04-PR |
|--------|---------|--------------|--------------|----------|----|-----|--------|---------------------------|-----------------|----------------------------------------------------------------------|---------------------|--------------------------------|------------------------|-------------|-------------|------------------------|------------|----------------------------------------------------|----------|------------|-----------------|-----------------------------|------------------------|----------------|---------------|-------|---------------|--------|---------------|----------------|--------|--------------|--------------|----------|-----------|----------------|
| 652474 | 1467630 |   2025-01-01 | quarta-feira | 02:30:00 | PR | 163 |  219,7 | CASCAVEL                  | N�o             | Rea��o tardia ou ineficiente do condutor                             |                   1 | Capotamento                    | Com V�timas Feridas    | Plena Noite | Decrescente | C�u Claro              | Dupla      | Reta                                               | N�o      |    1172935 | Autom�vel       | I/PEUGEOT 206 SOLEIL        |                   2001 | Condutor       | Ileso         |    25 | Masculino     |      1 |             0 |              0 |      0 |   -24,897235 |   -53,533793 | SPRF-PR  | DEL04-PR  | UOP01-DEL04-PR |
|--------|---------|--------------|--------------|----------|----|-----|--------|---------------------------|-----------------|----------------------------------------------------------------------|---------------------|--------------------------------|------------------------|-------------|-------------|------------------------|------------|----------------------------------------------------|----------|------------|-----------------|-----------------------------|------------------------|----------------|---------------|-------|---------------|--------|---------------|----------------|--------|--------------|--------------|----------|-----------|----------------|
| 652474 | 1469333 |   2025-01-01 | quarta-feira | 02:30:00 | PR | 163 |  219,7 | CASCAVEL                  | Sim             | Velocidade Incompat�vel                                              |                   2 | Sa�da de leito carro��vel      | Com V�timas Feridas    | Plena Noite | Decrescente | C�u Claro              | Dupla      | Reta                                               | N�o      |    1172935 | Autom�vel       | I/PEUGEOT 206 SOLEIL        |                   2001 | Passageiro     | Les�es Leves  |    20 | Feminino      |      0 |             1 |              0 |      0 |   -24,897235 |   -53,533793 | SPRF-PR  | DEL04-PR  | UOP01-DEL04-PR |
|--------|---------|--------------|--------------|----------|----|-----|--------|---------------------------|-----------------|----------------------------------------------------------------------|---------------------|--------------------------------|------------------------|-------------|-------------|------------------------|------------|----------------------------------------------------|----------|------------|-----------------|-----------------------------|------------------------|----------------|---------------|-------|---------------|--------|---------------|----------------|--------|--------------|--------------|----------|-----------|----------------|
| 652474 | 1467631 |   2025-01-01 | quarta-feira | 02:30:00 | PR | 163 |  219,7 | CASCAVEL                  | Sim             | Velocidade Incompat�vel                                              |                   2 | Sa�da de leito carro��vel      | Com V�timas Feridas    | Plena Noite | Decrescente | C�u Claro              | Dupla      | Reta                                               | N�o      |    1172935 | Autom�vel       | I/PEUGEOT 206 SOLEIL        |                   2001 | Passageiro     | Les�es Leves  |    18 | Feminino      |      0 |             1 |              0 |      0 |   -24,897235 |   -53,533793 | SPRF-PR  | DEL04-PR  | UOP01-DEL04-PR |
|--------|---------|--------------|--------------|----------|----|-----|--------|---------------------------|-----------------|----------------------------------------------------------------------|---------------------|--------------------------------|------------------------|-------------|-------------|------------------------|------------|----------------------------------------------------|----------|------------|-----------------|-----------------------------|------------------------|----------------|---------------|-------|---------------|--------|---------------|----------------|--------|--------------|--------------|----------|-----------|----------------|
| 652474 | 1467630 |   2025-01-01 | quarta-feira | 02:30:00 | PR | 163 |  219,7 | CASCAVEL                  | Sim             | Velocidade Incompat�vel                                              |                   2 | Sa�da de leito carro��vel      | Com V�timas Feridas    | Plena Noite | Decrescente | C�u Claro              | Dupla      | Reta                                               | N�o      |    1172935 | Autom�vel       | I/PEUGEOT 206 SOLEIL        |                   2001 | Condutor       | Ileso         |    25 | Masculino     |      1 |             0 |              0 |      0 |   -24,897235 |   -53,533793 | SPRF-PR  | DEL04-PR  | UOP01-DEL04-PR |
|--------|---------|--------------|--------------|----------|----|-----|--------|---------------------------|-----------------|----------------------------------------------------------------------|---------------------|--------------------------------|------------------------|-------------|-------------|------------------------|------------|----------------------------------------------------|----------|------------|-----------------|-----------------------------|------------------------|----------------|---------------|-------|---------------|--------|---------------|----------------|--------|--------------|--------------|----------|-----------|----------------|
| 652474 | 1469333 |   2025-01-01 | quarta-feira | 02:30:00 | PR | 163 |  219,7 | CASCAVEL                  | Sim             | Velocidade Incompat�vel                                              |                   1 | Capotamento                    | Com V�timas Feridas    | Plena Noite | Decrescente | C�u Claro              | Dupla      | Reta                                               | N�o      |    1172935 | Autom�vel       | I/PEUGEOT 206 SOLEIL        |                   2001 | Passageiro     | Les�es Leves  |    20 | Feminino      |      0 |             1 |              0 |      0 |   -24,897235 |   -53,533793 | SPRF-PR  | DEL04-PR  | UOP01-DEL04-PR |
|--------|---------|--------------|--------------|----------|----|-----|--------|---------------------------|-----------------|----------------------------------------------------------------------|---------------------|--------------------------------|------------------------|-------------|-------------|------------------------|------------|----------------------------------------------------|----------|------------|-----------------|-----------------------------|------------------------|----------------|---------------|-------|---------------|--------|---------------|----------------|--------|--------------|--------------|----------|-----------|----------------|
| 652474 | 1467631 |   2025-01-01 | quarta-feira | 02:30:00 | PR | 163 |  219,7 | CASCAVEL                  | Sim             | Velocidade Incompat�vel                                              |                   1 | Capotamento                    | Com V�timas Feridas    | Plena Noite | Decrescente | C�u Claro              | Dupla      | Reta                                               | N�o      |    1172935 | Autom�vel       | I/PEUGEOT 206 SOLEIL        |                   2001 | Passageiro     | Les�es Leves  |    18 | Feminino      |      0 |             1 |              0 |      0 |   -24,897235 |   -53,533793 | SPRF-PR  | DEL04-PR  | UOP01-DEL04-PR |
|--------|---------|--------------|--------------|----------|----|-----|--------|---------------------------|-----------------|----------------------------------------------------------------------|---------------------|--------------------------------|------------------------|-------------|-------------|------------------------|------------|----------------------------------------------------|----------|------------|-----------------|-----------------------------|------------------------|----------------|---------------|-------|---------------|--------|---------------|----------------|--------|--------------|--------------|----------|-----------|----------------|
| 652474 | 1467630 |   2025-01-01 | quarta-feira | 02:30:00 | PR | 163 |  219,7 | CASCAVEL                  | Sim             | Velocidade Incompat�vel                                              |                   1 | Capotamento                    | Com V�timas Feridas    | Plena Noite | Decrescente | C�u Claro              | Dupla      | Reta                                               | N�o      |    1172935 | Autom�vel       | I/PEUGEOT 206 SOLEIL        |                   2001 | Condutor       | Ileso         |    25 | Masculino     |      1 |             0 |              0 |      0 |   -24,897235 |   -53,533793 | SPRF-PR  | DEL04-PR  | UOP01-DEL04-PR |
|--------|---------|--------------|--------------|----------|----|-----|--------|---------------------------|-----------------|----------------------------------------------------------------------|---------------------|--------------------------------|------------------------|-------------|-------------|------------------------|------------|----------------------------------------------------|----------|------------|-----------------|-----------------------------|------------------------|----------------|---------------|-------|---------------|--------|---------------|----------------|--------|--------------|--------------|----------|-----------|----------------|
| 652475 | 1467648 |   2025-01-01 | quarta-feira | 02:37:00 | PB | 230 |   35,9 | SANTA RITA                | Sim             | Aus�ncia de rea��o do condutor                                       |                   2 | Queda de ocupante de ve�culo   | Com V�timas Feridas    | Plena Noite | Crescente   | C�u Claro              | Dupla      | Reta                                               | Sim      |    1172944 | Motocicleta     | HONDA/CG 125 FAN KS         |                   2011 | Condutor       | Les�es Leves  |    27 | Masculino     |      0 |             1 |              0 |      0 |  -7,12664996 | -34,95011855 | SPRF-PB  | DEL01-PB  | UOP02-DEL01-PB |
|--------|---------|--------------|--------------|----------|----|-----|--------|---------------------------|-----------------|----------------------------------------------------------------------|---------------------|--------------------------------|------------------------|-------------|-------------|------------------------|------------|----------------------------------------------------|----------|------------|-----------------|-----------------------------|------------------------|----------------|---------------|-------|---------------|--------|---------------|----------------|--------|--------------|--------------|----------|-----------|----------------|
| 652475 | 1467648 |   2025-01-01 | quarta-feira | 02:37:00 | PB | 230 |   35,9 | SANTA RITA                | Sim             | Aus�ncia de rea��o do condutor                                       |                   1 | Tombamento                     | Com V�timas Feridas    | Plena Noite | Crescente   | C�u Claro              | Dupla      | Reta                                               | Sim      |    1172944 | Motocicleta     | HONDA/CG 125 FAN KS         |                   2011 | Condutor       | Les�es Leves  |    27 | Masculino     |      0 |             1 |              0 |      0 |  -7,12664996 | -34,95011855 | SPRF-PB  | DEL01-PB  | UOP02-DEL01-PB |
|--------|---------|--------------|--------------|----------|----|-----|--------|---------------------------|-----------------|----------------------------------------------------------------------|---------------------|--------------------------------|------------------------|-------------|-------------|------------------------|------------|----------------------------------------------------|----------|------------|-----------------|-----------------------------|------------------------|----------------|---------------|-------|---------------|--------|---------------|----------------|--------|--------------|--------------|----------|-----------|----------------|
| 652476 | 1467633 |   2025-01-01 | quarta-feira | 01:30:00 | SP | 116 |    6,7 | QUELUZ                    | Sim             | Aus�ncia de rea��o do condutor                                       |                   1 | Colis�o com objeto             | Com V�timas Feridas    | Plena Noite | Decrescente | C�u Claro              | Dupla      | Reta                                               | N�o      |    1172937 | Autom�vel       | TOYOTA/COROLLA XEI20FLEX    |                   2018 | Passageiro     | Les�es Leves  |    31 | Masculino     |      0 |             1 |              0 |      0 | -22,53158181 | -44,75374706 | SPRF-SP  | DEL08-SP  | UOP02-DEL08-SP |
